"state","excess_deaths_per_100k_wa","total_deaths_wa","covid_deaths_wa","expected_deaths_wa","excess_deaths_wa"
"District of Columbia",6.63585025270144,143.525,17.825,96.6925532000621,46.8324467999379
"North Dakota",5.52604839053832,171.75,26.6,129.638085114096,42.1119148859042
"New York",5.41903957946649,3986.8,880.25,2932.60382979434,1054.19617020566
"New Jersey",5.25433719340459,1882.95,443.275,1416.24978724114,466.700212758863
"Mississippi",4.72124468864262,756.075,104.5,615.56372341141,140.51127658859
"Louisiana",4.31638600484054,1082.675,169.15,882.015106390133,200.659893609867
"South Dakota",4.25004484763645,194.35,31.075,156.751595751348,37.5984042486521
"Tennessee",4.08926348654484,1667.975,134.95,1388.54851064592,279.426489354076
"Missouri",4.0858285787871,1443.55,112.75,1192.78521277352,250.764787226482
"Michigan",3.87002041030839,2264.75,279.875,1878.25659575169,386.493404248313
"Arizona",3.84031907601164,1444.475,183.05,1164.9490425601,279.525957439902
"Connecticut",3.58083602467396,720.128205128205,131.948717948718,592.461123849188,127.667081279017
"South Carolina",3.51146556482862,1156.45,117.125,975.65468085849,180.79531914151
"Indiana",3.45885607628548,1491.35,168.925,1258.49223404965,232.857765950346
"Alabama",3.31873947642706,1194.3,101.95,1031.57606380275,162.72393619725
"Arkansas",3.30959788364304,718.05,72.75,618.172127667949,99.8778723320507
"Texas",3.2635358016517,4837.525,594.625,3891.23404256068,946.290957439321
"Illinois",3.26176062681269,2476.45,354.4,2063.12553192182,413.324468078182
"Rhode Island",3.24557355032138,224.775,35.325,190.39265958158,34.3823404184201
"Pennsylvania",3.22798078231109,2918.95,310.9,2505.70425532642,413.245744673579
"Montana",3.20789903450359,230.125,20.45,195.839680857013,34.2853191429868
"Iowa",3.20270063112572,681.4,80.2,580.352553197542,101.047446802458
"Nebraska",3.19585377321148,378.8,34.05,316.979148942695,61.8208510573048
"Massachusetts",3.18727063039735,1327.95,282.675,1106.45053192242,221.499468077583
"Ohio",3.13976177473052,2722.625,186.825,2355.61510638997,367.009893610025
"Nevada",3.03442423023671,587.15,62.4,493.68500000691,93.4649999930898
"Florida",3.0008827378741,4665.075,494.575,4020.553297881,644.521702118998
"Maryland",2.89787017241041,1149.125,128.05,973.929042560618,175.195957439382
"United States",2.87791001986361,63674.125,7269.775,54297.5122340485,9376.61276595155
"Georgia",2.86383853274084,1950.55,230,1646.48414894191,304.065851058088
"Colorado",2.66255975664104,910.35,96.6,757.0202127728,153.3297872272
"Delaware",2.48433868352244,204.225,20.375,180.033404261785,24.1915957382154
"New Mexico",2.46027529909124,421.125,47.825,369.537234048818,51.5877659511819
"Kentucky",2.43064085262115,1035.6,54.75,927.006914900475,108.593085099525
"Idaho",2.15273337427979,318.575,29.175,280.104255324927,38.4707446750732
"Wisconsin",2.13826090222855,1196.575,100.975,1072.07617021994,124.498829780062
"Minnesota",2.13424594042892,992.05,108.975,871.686382984869,120.363617015131
"Kansas",2.10805478953467,581.875,51.8,520.460744688816,61.4142553111839
"California",2.08095665495182,5895.325,524.15,5073.0927659621,822.232234037903
"Utah",2.05142982896597,424.625,25.975,358.857021283879,65.7679787161208
"Oklahoma",2.00614173824671,847.175,51.05,767.792553198682,79.3824468013183
"Virginia",1.91773229311645,1505.175,110.15,1341.48659575191,163.688404248091
"Vermont",1.77712147902786,121.075,2.375,109.985957454229,11.0890425457711
"Wyoming",1.55407720568566,105.95,8.025,96.9556383051457,8.99436169485426
"Washington",1.3154206150133,1201.25,71.375,1101.0821276668,100.167872333204
"New Hampshire",1.30038584334279,258.825,15,241.143510645625,17.6814893543747
"Oregon",1.27418838317848,754.225,28.425,700.483085112979,53.7419148870206
"Maine",0.795799623555208,295.925,6.425,285.227765964216,10.6972340357839
"Alaska",0.588073361309855,91.925,4.175,87.6229787290058,4.30202127099418
"Hawaii",0.486520718813017,228.6,6.725,221.711489368128,6.88851063187224
"North Carolina",0.0160461866562259,1801.67741935484,121.451612903226,1799.99448181954,1.68293753530142
"West Virginia",-0.375307596812001,435.725,24.15,442.451063837038,-6.72606383703833
