"state","Density"
"District of Columbia",10801.5
"New Jersey",1215.4
"Puerto Rico",1036.3
"Rhode Island",1020.5
"Massachusetts",864.8
"Virgin Islands",775.1
"Guam",767.8
"Connecticut",742.7
"American Samoa",713.6
"Maryland",615.7
"Delaware",480.1
"New York",419
"Florida",371
"Pennsylvania",285.8
"Ohio",283.7
"Northern Mariana Islands",282.6
"California",249.1
"Illinois",232
"Hawaii",221
"Virginia",210.8
"North Carolina",204.5
"Indiana",184.1
"Georgia",175.6
"Michigan",175.3
"South Carolina",160.8
"Tennessee",158.8
"New Hampshire",148.2
"Kentucky",111.8
"Louisiana",107.6
"Washington",106.3
"Wisconsin",106.3
"Texas",103.2
"Alabama",95.8
"Missouri",88.2
"West Virginia",77
"Minnesota",68.5
"Vermont",68
"Mississippi",63.8
"Arizona",59.3
"Arkansas",57
"Iowa",55.6
"Oklahoma",56.5
"Colorado",51.7
"Maine",43.1
"Oregon",41.4
"Kansas",35.5
"Utah",35.8
"Nevada",25.9
"Nebraska",24.5
"Idaho",19.8
"New Mexico",17.2
"South Dakota",11.3
"North Dakota",10.7
"Montana",7
"Wyoming",6
"Alaska",1.3
