"state","nhw_pop"
"Alabama",0.666
"Alaska",0.63
"Arizona",0.569
"Arkansas",0.739
"California",0.392
"Colorado",0.694
"Connecticut",0.7
"Delaware",0.643
"District of Columbia",0.353
"Florida",0.568
"Georgia",0.55
"Hawaii",0.228
"Idaho",0.834
"Illinois",0.629
"Indiana",0.809
"Iowa",0.88
"Kansas",0.774
"Kentucky",0.858
"Louisiana",0.597
"Maine",0.941
"Maryland",0.538
"Massachusetts",0.753
"Michigan",0.761
"Minnesota",0.823
"Mississippi",0.575
"Missouri",0.805
"Montana",0.872
"Nebraska",0.813
"Nevada",0.527
"New Hampshire",0.918
"New Jersey",0.579
"New Mexico",0.397
"New York",0.574
"North Carolina",0.645
"North Dakota",0.881
"Ohio",0.806
"Oklahoma",0.678
"Oregon",0.776
"Pennsylvania",0.786
"Rhode Island",0.754
"South Carolina",0.639
"South Dakota",0.838
"Tennessee",0.75
"Texas",0.443
"Utah",0.798
"Vermont",0.94
"Virginia",0.639
"Washington",0.714
"West Virginia",0.928
"Wisconsin",0.828
"Wyoming",0.846
