"week","covid_deaths","excess_deaths"
11,3,-30.0638297947553
12,75,400.736170205347
13,914,2244.93617020556
14,3532,6995.93617020506
15,6588,9399.53617020543
16,5117,7334.13617020629
17,5240,4826.53617020586
18,2513,3018.53617020543
19,2737,1980.73617020597
20,1246,1223.33617020574
21,920,611.136170206092
22,671,501.33617020575
23,550,253.536170205551
24,428,134.536170205659
25,303,40.5361702055661
26,266,184.736170206015
27,750,2.33617020565589
28,150,136.136170205871
29,161,4.73617020558049
30,127,40.5361702056489
31,96,75.336170205831
32,59,49.3361702056163
33,69,-13.4638297942238
34,54,83.1361702055092
35,58,13.7361702056332
36,55,-59.2638297944786
37,45,-23.6638297944301
38,57,77.736170205601
39,34,232.936170205815
40,80,-18.2638297943445
41,84,156.736170205615
42,85,-33.863829794444
43,81,-41.66382979437
44,116,79.3361702056345
45,134,321.936170205707
46,192,171.736170205711
47,230,295.136170205666
48,338,303.336170205627
49,461,471.136170205648
50,591,722.536170205699
